City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,saudarkrokur,65.7461,-19.6394,269.66,79,76,2.78,IS,1730566632
81,lloydminster,53.2835,-110.0016,270.27,100,100,6.17,CA,1730566634
82,yellowknife,62.456,-114.3525,267.27,99,100,5.14,CA,1730566635
83,outjo,-20.1167,16.15,306.16,9,79,8.07,NA,1730566636
84,georgetown,5.4112,100.3354,300.11,89,20,1.03,MY,1730566483
85,west island,-12.1568,96.8225,300.14,74,75,7.2,CC,1730566639
86,kodiak,57.79,-152.4072,279.88,93,100,2.06,US,1730566640
87,keflavik,64.0049,-22.5624,276.39,81,0,4.12,IS,1730566641
88,alo,6.5486,4.2686,300.49,78,93,3.2,NG,1730566642
89,polovinnoye,54.7914,65.9864,274.98,97,100,10.42,RU,1730566643
90,mariehamn,60.0973,19.9348,277.07,75,20,3.6,AX,1730566644
91,cockburn town,21.4612,-71.1419,301.13,89,75,6.17,TC,1730566517
92,uturoa,-16.7333,-151.4333,298.4,70,22,3.58,PF,1730566646
93,tanah rata,4.475,101.3704,288.57,93,100,0.5,MY,1730566647
94,fort william,56.8165,-5.1121,284.43,95,100,2.31,GB,1730566648
95,newman,37.3138,-121.0208,287.06,86,90,2.15,US,1730566610
96,avarua,-21.2078,-159.775,295.18,83,42,2.06,CK,1730566651
97,geraldton,-28.7667,114.6,289.38,88,6,2.06,AU,1730566652
98,aykhal,66.0,111.5,248.79,100,94,0.76,RU,1730566653
99,la sarre,48.8002,-79.1996,273.48,56,9,3.68,CA,1730566654
100,ketchikan,55.3422,-131.6461,280.14,75,100,3.6,US,1730566655
101,wailua homesteads,22.0669,-159.378,297.59,78,75,4.12,US,1730566656
102,tazovsky,67.4667,78.7,269.25,94,100,9.05,RU,1730566657
103,tejen,37.3834,60.5054,290.93,37,20,4.91,TM,1730566658
104,roma,43.2128,-75.4557,280.99,69,100,4.63,US,1730566407
105,olonkinbyen,70.9221,-8.7187,270.52,96,100,5.21,SJ,1730566660
106,rabo de peixe,37.8,-25.5833,294.88,99,20,4.12,PT,1730566662
107,punta arenas,-53.15,-70.9167,283.21,46,0,8.75,CL,1730566450
108,jora,26.3333,77.8167,298.45,30,0,2.26,IN,1730566664
109,vilyuchinsk,52.9306,158.4028,267.3,79,21,3.84,RU,1730566665
110,college,64.8569,-147.8028,264.12,73,20,3.6,US,1730566666
111,wenchang,30.904,118.4887,287.86,81,0,1.14,CN,1730566667
112,skiathos,39.1623,23.4909,289.8,58,0,1.56,GR,1730566668
113,san antonio de pale,-1.4014,5.6325,298.57,83,85,6.1,GQ,1730566669
114,nikolayevsk-on-amure,53.1406,140.73,267.58,94,86,1.85,RU,1730566670
115,aripuana,-9.1667,-60.6333,308.85,37,100,0.45,BR,1730566567
116,ilhabela,-23.7781,-45.3581,298.79,76,98,3.69,BR,1730566672
117,yaren,-0.5472,166.916,301.26,70,91,5.03,NR,1730566673
118,egilsstadir,65.2653,-14.3948,273.1,93,75,1.03,IS,1730566675
119,menongue,-14.6585,17.691,299.76,35,95,2.15,AO,1730566676
120,nova sintra,14.8667,-24.7167,300.27,76,0,3.63,CV,1730566677
121,portland,45.5234,-122.6762,283.6,94,75,3.13,US,1730566678
122,kapa'a,22.0752,-159.319,298.33,78,75,4.12,US,1730566679
123,arkhangel'sk,64.5401,40.5433,269.21,100,100,3.0,RU,1730566680
124,ulsteinvik,62.3432,5.8487,279.68,82,100,4.47,NO,1730566681
125,san martin,-33.081,-68.4681,296.26,20,0,5.81,AR,1730566658
126,viedma,-40.8135,-62.9967,293.77,19,0,4.91,AR,1730566677
127,palafrugell,41.9174,3.1631,289.69,67,91,3.11,ES,1730566686
128,inhambane,-23.865,35.3833,296.55,72,0,5.29,MZ,1730566687
129,enewetak,11.3474,162.3373,301.92,77,24,6.84,MH,1730566688
130,lompoc,34.6391,-120.4579,288.11,80,100,1.54,US,1730566689
131,happy valley-goose bay,53.3168,-60.3315,277.32,45,75,6.17,CA,1730566690
132,forbes,-33.3833,148.0167,290.56,66,100,5.07,AU,1730566692
133,chonchi,-42.6128,-73.8092,286.55,62,96,4.71,CL,1730566693
134,alice springs,-23.7,133.8833,302.9,13,100,5.66,AU,1730566672
135,pokrovsk,48.282,37.1758,279.89,38,77,5.7,UA,1730566695
136,villa juarez,24.6536,-107.5411,302.92,23,0,2.07,MX,1730566519
137,tosontsengel,48.7567,98.2839,259.39,89,4,0.53,MN,1730566698
138,torghay,49.6339,63.4981,284.19,80,100,10.81,KZ,1730566699
139,loango,-4.6719,11.8312,298.75,87,74,4.49,CG,1730566700
140,fale old settlement,-9.3852,-171.2468,300.93,74,88,4.5,TK,1730566701
141,sumberpucung,-8.1586,112.4829,296.07,96,85,0.8,ID,1730566702
142,moose jaw,50.4001,-105.5344,272.29,80,100,6.17,CA,1730566703
143,ribeira grande,38.5167,-28.7,294.37,68,40,8.75,PT,1730566704
144,sao joao da barra,-21.6403,-41.0511,302.2,78,84,5.8,BR,1730566705
145,iskateley,67.6803,53.1512,267.93,96,44,3.69,RU,1730566706
146,usogorsk,63.4106,48.6872,269.61,75,60,3.27,RU,1730566708
147,ukmerge,55.25,24.75,277.28,62,40,7.64,LT,1730566709
148,ixtapa,20.7,-105.2,302.16,54,0,0.89,MX,1730566710
149,noumea,-22.2763,166.4572,294.28,82,100,0.45,NC,1730566711
150,leh,34.1667,77.5833,277.31,18,99,1.73,IN,1730566712
151,port elizabeth,-33.918,25.5701,293.31,97,20,8.23,ZA,1730566682
152,ponot,8.452,123.0222,298.88,88,67,2.84,PH,1730566714
153,kununurra,-15.7667,128.7333,301.14,61,20,1.54,AU,1730566715
154,callao,-12.0667,-77.15,294.31,73,40,4.63,PE,1730566717
155,howrah,22.5892,88.3103,300.15,78,20,0.0,IN,1730566718
156,balezino,57.9796,53.0106,271.85,95,100,7.57,RU,1730566719
